Rule Name,Distribution,n_splits,n,m,k,Annealed Scores,Split Distance
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.875, 0.766, 0.677, 0.547, 0.437, 0.328, 0.266, 0.109, 0.0]",0.03221035537476729
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.556, 0.444, 0.333, 0.222, 0.111, 0.0]",0.032451949253197866
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.83, 0.818, 0.708, 0.627, 0.392, 0.392, 0.168, 0.001, 0.0]",0.03283612398700839
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.976, 0.933, 0.698, 0.636, 0.552, 0.447, 0.397, 0.104, 0.0]",0.033091655367409704
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.964, 0.766, 0.766, 0.537, 0.43, 0.281, 0.23, 0.087, 0.0]",0.033351201925603445
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.991, 0.902, 0.767, 0.693, 0.573, 0.405, 0.297, 0.154, 0.0]",0.03351997603506438
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.939, 0.911, 0.799, 0.625, 0.433, 0.352, 0.307, 0.206, 0.0]",0.03385307812779187
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.809, 0.708, 0.607, 0.506, 0.404, 0.335, 0.219, 0.101, 0.0]",0.03393650343182069
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.837, 0.732, 0.628, 0.594, 0.44, 0.314, 0.266, 0.105, 0.0]",0.03428144083919306
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.556, 0.444, 0.333, 0.222, 0.111, 0.0]",0.03434443288241404
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.582, 0.444, 0.333, 0.222, 0.111, 0.0]",0.0345622300003152
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.852, 0.746, 0.699, 0.464, 0.365, 0.265, 0.191, 0.102, 0.0]",0.03496516675600948
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.556, 0.444, 0.441, 0.222, 0.111, 0.0]",0.0349779375440144
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.556, 0.444, 0.333, 0.222, 0.111, 0.0]",0.035026172232207484
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.968, 0.72, 0.646, 0.538, 0.416, 0.259, 0.2, 0.067, 0.0]",0.03510078937134077
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.907, 0.856, 0.836, 0.825, 0.608, 0.532, 0.46, 0.209, 0.0]",0.03513286874993419
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.556, 0.482, 0.333, 0.237, 0.111, 0.0]",0.03529522067711447
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.825, 0.659, 0.615, 0.464, 0.463, 0.227, 0.208, 0.035, 0.0]",0.03545674224030091
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.902, 0.811, 0.732, 0.485, 0.428, 0.253, 0.158, 0.142, 0.0]",0.03557391816184728
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.957, 0.797, 0.414, 0.408, 0.407, 0.216, 0.189, 0.12, 0.0]",0.0356334205741072
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.884, 0.788, 0.748, 0.647, 0.531, 0.406, 0.253, 0.248, 0.0]",0.035717949526482176
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.882, 0.758, 0.744, 0.519, 0.406, 0.287, 0.184, 0.048, 0.0]",0.03601896172967962
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.896, 0.775, 0.749, 0.602, 0.497, 0.422, 0.228, 0.163, 0.0]",0.03607959932309556
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.844, 0.83, 0.681, 0.624, 0.524, 0.368, 0.238, 0.135, 0.0]",0.036196733200895406
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.939, 0.899, 0.694, 0.665, 0.475, 0.4, 0.35, 0.053, 0.0]",0.036553611032278936
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.999, 0.948, 0.839, 0.733, 0.661, 0.497, 0.416, 0.258, 0.0]",0.036618684240952576
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.88, 0.667, 0.556, 0.472, 0.349, 0.251, 0.176, 0.0]",0.03673447271886383
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.889, 0.778, 0.667, 0.556, 0.444, 0.333, 0.222, 0.111, 0.0]",0.036773142454723996
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.836, 0.638, 0.601, 0.396, 0.293, 0.215, 0.15, 0.008, 0.0]",0.03698944701962377
Single Profile Annealing,MALLOWS-0.4,10,100,100,10,"[1.0, 0.877, 0.846, 0.778, 0.719, 0.46, 0.411, 0.314, 0.282, 0.0]",0.03717374578248657
