n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,5,20,MALLOWS-RELPHI-R,Homogeneity,500,205,"Counter({'Borda': 176, 'Plurality Veto': 37, 'Dowdall': 35, 'Anti-Plurality': 30, 'Plurality': 17})"
16,5,20,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 271, 'Dowdall': 99, 'Plurality Veto': 54, 'Anti-Plurality': 48, 'Plurality': 28})"
16,5,20,MALLOWS-RELPHI-R,Monotonicity,500,11,"Counter({'Borda': 259, 'Dowdall': 98, 'Plurality Veto': 61, 'Anti-Plurality': 43, 'Plurality': 28})"
16,5,20,MALLOWS-RELPHI-R,Strong Consistency,193,43,"Counter({'Borda': 120, 'Dowdall': 17, 'Plurality Veto': 7, 'Plurality': 4, 'Anti-Plurality': 2})"
16,5,20,MALLOWS-RELPHI-R,Weak Consistency,103,8,"Counter({'Borda': 87, 'Dowdall': 8})"
16,5,20,URN-R,Homogeneity,500,195,"Counter({'Borda': 120, 'Plurality Veto': 63, 'Dowdall': 61, 'Anti-Plurality': 41, 'Plurality': 20})"
16,5,20,URN-R,Reversal Symmetry,500,0,"Counter({'Borda': 188, 'Dowdall': 113, 'Plurality Veto': 103, 'Anti-Plurality': 59, 'Plurality': 37})"
16,5,20,URN-R,Monotonicity,500,15,"Counter({'Borda': 180, 'Dowdall': 112, 'Plurality Veto': 95, 'Anti-Plurality': 51, 'Plurality': 47})"
16,5,20,URN-R,Strong Consistency,194,47,"Counter({'Borda': 100, 'Plurality Veto': 20, 'Dowdall': 19, 'Anti-Plurality': 4, 'Plurality': 4})"
16,5,20,URN-R,Weak Consistency,91,9,"Counter({'Borda': 70, 'Plurality Veto': 6, 'Dowdall': 6})"
16,5,20,plackett_luce,Homogeneity,500,239,"Counter({'Borda': 150, 'Plurality Veto': 55, 'Dowdall': 28, 'Anti-Plurality': 28})"
16,5,20,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 272, 'Plurality Veto': 104, 'Dowdall': 69, 'Anti-Plurality': 51, 'Plurality': 4})"
16,5,20,plackett_luce,Monotonicity,500,10,"Counter({'Borda': 283, 'Plurality Veto': 94, 'Dowdall': 56, 'Anti-Plurality': 54, 'Plurality': 3})"
16,5,20,plackett_luce,Strong Consistency,168,51,"Counter({'Borda': 101, 'Plurality Veto': 11, 'Dowdall': 5})"
16,5,20,plackett_luce,Weak Consistency,30,7,"Counter({'Borda': 20, 'Plurality Veto': 2, 'Dowdall': 1})"
16,5,20,single_peaked_conitzer,Homogeneity,500,361,"Counter({'Borda': 62, 'Plurality Veto': 55, 'Anti-Plurality': 20, 'Dowdall': 2})"
16,5,20,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 336, 'Borda': 92, 'Plurality Veto': 71, 'Dowdall': 1})"
16,5,20,single_peaked_conitzer,Monotonicity,500,5,"Counter({'Anti-Plurality': 325, 'Borda': 101, 'Plurality Veto': 66, 'Dowdall': 3})"
16,5,20,single_peaked_conitzer,Strong Consistency,176,73,"Counter({'Anti-Plurality': 58, 'Borda': 34, 'Plurality Veto': 11})"
16,5,20,single_peaked_conitzer,Weak Consistency,53,17,"Counter({'Anti-Plurality': 26, 'Borda': 7, 'Plurality Veto': 3})"
16,5,20,IC,Homogeneity,500,199,"Counter({'Anti-Plurality': 99, 'Plurality': 79, 'Dowdall': 49, 'Plurality Veto': 39, 'Borda': 35})"
16,5,20,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 137, 'Plurality': 128, 'Dowdall': 85, 'Plurality Veto': 76, 'Borda': 74})"
16,5,20,IC,Monotonicity,500,49,"Counter({'Anti-Plurality': 117, 'Plurality': 106, 'Borda': 79, 'Dowdall': 78, 'Plurality Veto': 71})"
16,5,20,IC,Strong Consistency,98,51,"Counter({'Anti-Plurality': 17, 'Borda': 13, 'Plurality Veto': 10, 'Plurality': 4, 'Dowdall': 3})"
16,5,20,IC,Weak Consistency,2,0,Counter({'Anti-Plurality': 2})
