num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.058,0.027,0.013,0.009
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.256,0.064,0.12,0.019
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.111,0.033,0.057,0.013
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.198,0.042,0.12,0.02
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.009,0.011,0.0,0.001
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.139,0.035,0.1,0.012
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.134,0.042,0.082,0.014
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.114,0.034,0.041,0.007
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.095,0.028,0.042,0.001
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.144,0.041,0.099,0.015
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.268,0.061,0.156,0.026
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.24,0.057,0.152,0.015
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.015,0.009,0.007,0.004
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.212,0.042,0.17,0.02
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.12,0.035,0.033,0.013
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.164,0.041,0.121,0.033
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.056,0.024,0.016,0.006
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.149,0.044,0.104,0.011
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.136,0.031,0.087,0.027
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Annealing Score Vector,0.102,0.024,0.05,0.007
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.032,0.023,0.007,0.003
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.033,0.022,0.002,0.003
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.042,0.024,0.014,0.005
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.04,0.025,0.009,0.004
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.048,0.026,0.007,0.005
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.052,0.027,0.009,0.005
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.055,0.025,0.024,0.012
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.046,0.026,0.013,0.007
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.047,0.024,0.009,0.005
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.05,0.023,0.017,0.008
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.049,0.025,0.01,0.006
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.038,0.021,0.01,0.008
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.043,0.025,0.009,0.007
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.042,0.024,0.022,0.006
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.038,0.024,0.017,0.004
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.05,0.024,0.019,0.005
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.046,0.025,0.013,0.002
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.04,0.023,0.005,0.004
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.05,0.026,0.017,0.012
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Annealing Score Vector,0.055,0.027,0.018,0.01
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.019,0.018,0.005,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.02,0.017,0.001,0.003
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.028,0.015,0.008,0.007
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.02,0.018,0.003,0.004
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.027,0.019,0.003,0.005
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.026,0.021,0.0,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.026,0.02,0.002,0.006
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.026,0.02,0.005,0.005
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.023,0.017,0.013,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.021,0.02,0.006,0.008
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.027,0.02,0.002,0.005
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.028,0.021,0.002,0.005
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.016,0.015,0.0,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.018,0.015,0.002,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.017,0.018,0.001,0.003
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.015,0.015,0.0,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.016,0.015,0.005,0.001
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.016,0.017,0.0,0.0
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.019,0.018,0.01,0.002
100,10,5,0,20,equal_size,plackett_luce,Annealing Score Vector,0.024,0.019,0.004,0.006
