num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.049,0.011,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.065,0.021,0.021,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.157,0.033,0.074,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.059,0.015,0.016,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.049,0.012,0.003,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.0,0.0,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.0,0.0,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.324,0.017,0.316,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.0,0.0,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.0,0.0,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.556,0.075,0.195,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.508,0.079,0.253,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.505,0.05,0.316,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.541,0.073,0.211,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.548,0.063,0.226,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.224,0.037,0.095,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.209,0.034,0.126,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.306,0.039,0.205,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.202,0.038,0.121,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.218,0.031,0.124,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.192,0.034,0.1,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.198,0.043,0.111,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.319,0.057,0.15,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.199,0.032,0.1,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.193,0.035,0.097,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.411,0.073,0.321,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.477,0.059,0.295,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.513,0.047,0.35,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.42,0.061,0.274,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.412,0.069,0.305,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.07,0.023,0.026,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.108,0.024,0.063,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.213,0.034,0.113,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.088,0.02,0.047,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.075,0.021,0.029,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.009,0.004,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.019,0.004,0.016,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.177,0.029,0.105,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.014,0.004,0.005,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.009,0.005,0.0,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.149,0.031,0.047,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.192,0.037,0.089,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.24,0.049,0.158,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.16,0.03,0.063,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.153,0.025,0.066,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.084,0.016,0.016,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.094,0.019,0.063,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.212,0.03,0.124,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.096,0.015,0.039,0.0
50,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.088,0.016,0.024,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.003,0.003,0.0,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.01,0.006,0.0,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.309,0.026,0.282,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.008,0.005,0.0,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.007,0.003,0.0,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.251,0.041,0.1,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.331,0.041,0.132,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.44,0.059,0.313,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.276,0.042,0.089,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.272,0.042,0.103,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.324,0.053,0.147,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.348,0.049,0.179,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.401,0.058,0.337,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.326,0.053,0.129,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.332,0.054,0.139,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.044,0.016,0.016,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.072,0.014,0.026,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.266,0.017,0.147,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.055,0.012,0.029,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.059,0.014,0.026,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.001,0.002,0.0,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.011,0.006,0.005,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.336,0.02,0.25,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.009,0.005,0.005,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.005,0.002,0.0,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.054,0.013,0.026,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.093,0.015,0.032,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.273,0.034,0.189,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.073,0.016,0.029,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.067,0.01,0.029,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.08,0.019,0.021,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.119,0.024,0.047,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.28,0.021,0.176,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.111,0.018,0.058,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.096,0.017,0.026,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.496,0.066,0.421,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.445,0.06,0.4,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.476,0.047,0.434,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.472,0.059,0.421,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.484,0.065,0.424,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.342,0.045,0.258,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.305,0.05,0.237,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.469,0.042,0.242,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.31,0.058,0.255,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.337,0.058,0.271,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.322,0.048,0.179,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.361,0.064,0.189,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.511,0.054,0.332,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.346,0.055,0.174,0.0
20,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.335,0.052,0.163,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.031,0.01,0.0,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.036,0.012,0.005,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.407,0.002,0.284,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.033,0.01,0.011,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.031,0.009,0.003,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.386,0.059,0.295,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.369,0.052,0.342,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.469,0.034,0.492,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.398,0.041,0.295,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.398,0.039,0.308,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.017,0.006,0.011,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.021,0.008,0.011,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.401,0.001,0.245,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.021,0.006,0.013,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.018,0.006,0.013,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.402,0.065,0.232,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.427,0.054,0.326,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.433,0.033,0.329,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.396,0.057,0.263,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.401,0.056,0.239,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.046,0.008,0.005,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.052,0.011,0.037,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.331,0.011,0.216,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.051,0.01,0.029,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.047,0.008,0.018,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.211,0.027,0.095,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.211,0.023,0.111,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.362,0.033,0.205,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.199,0.026,0.1,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.204,0.025,0.108,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.262,0.04,0.147,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.311,0.044,0.211,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.477,0.033,0.376,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.23,0.04,0.179,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.244,0.037,0.163,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.541,0.041,0.395,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.53,0.047,0.353,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.574,0.046,0.566,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Borda,0.524,0.04,0.384,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Copeland,0.538,0.049,0.403,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.406,0.052,0.321,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.414,0.047,0.332,0.0
10,20,1,0,20,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.539,0.034,0.403,0.0
