num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.018,0.008,0.0,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.03,0.013,0.004,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.224,0.044,0.136,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.502,0.128,0.483,0.125
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.116,0.038,0.049,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.114,0.039,0.031,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.273,0.05,0.142,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.493,0.128,0.483,0.114
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.113,0.034,0.058,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.132,0.039,0.08,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.236,0.055,0.162,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.475,0.123,0.479,0.111
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.072,0.028,0.036,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.087,0.029,0.027,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.241,0.046,0.193,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.493,0.11,0.5,0.122
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.134,0.032,0.08,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.141,0.039,0.084,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.28,0.049,0.187,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.474,0.12,0.503,0.114
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.138,0.037,0.08,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.134,0.036,0.084,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.252,0.043,0.173,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.484,0.128,0.511,0.12
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.087,0.032,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.101,0.04,0.027,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.242,0.052,0.116,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.511,0.128,0.523,0.124
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.099,0.038,0.084,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.15,0.038,0.076,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.207,0.05,0.171,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.517,0.102,0.488,0.119
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.052,0.024,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.075,0.028,0.031,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.219,0.034,0.116,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.521,0.13,0.478,0.115
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.118,0.03,0.084,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.133,0.039,0.084,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.251,0.059,0.167,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.47,0.106,0.502,0.105
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.058,0.024,0.027,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.072,0.024,0.04,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.249,0.041,0.142,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.504,0.115,0.503,0.122
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.008,0.007,0.0,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.014,0.008,0.0,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.243,0.022,0.184,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.493,0.116,0.509,0.112
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.124,0.036,0.058,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.151,0.046,0.089,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.266,0.061,0.16,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.498,0.122,0.512,0.127
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.15,0.032,0.067,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.173,0.038,0.071,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.289,0.054,0.191,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.483,0.122,0.498,0.129
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.026,0.012,0.009,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.036,0.015,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.204,0.041,0.142,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.495,0.112,0.509,0.104
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.095,0.021,0.076,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.091,0.025,0.08,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.277,0.039,0.222,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.512,0.131,0.493,0.107
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.251,0.057,0.182,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.291,0.053,0.204,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.321,0.072,0.253,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.503,0.119,0.496,0.127
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.062,0.022,0.04,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.081,0.029,0.044,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.196,0.04,0.14,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.518,0.12,0.502,0.117
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.005,0.007,0.0,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.01,0.008,0.004,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.181,0.035,0.127,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.502,0.126,0.512,0.115
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Kemeny,0.12,0.038,0.098,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,PL MLE,0.113,0.041,0.102,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Plurality,0.264,0.043,0.202,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-R,Random,0.478,0.12,0.479,0.12
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Kemeny,0.024,0.018,0.004,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,PL MLE,0.045,0.024,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Plurality,0.171,0.041,0.078,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Random,0.503,0.127,0.498,0.11
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Kemeny,0.028,0.016,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,PL MLE,0.042,0.021,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Plurality,0.17,0.043,0.08,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Random,0.488,0.116,0.491,0.125
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Kemeny,0.018,0.015,0.004,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,PL MLE,0.037,0.021,0.013,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Plurality,0.16,0.043,0.073,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Random,0.476,0.121,0.493,0.118
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Kemeny,0.021,0.019,0.0,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,PL MLE,0.043,0.029,0.004,0.0
100,10,5,0,20,equal_size,MALLOWS-RELPHI-0.5,Plurality,0.148,0.039,0.047,0.0
