num_voters,num_alternatives,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
256,20,MALLOWS-RELPHI-R,Copeland,0.022,0.006,0.005,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.026,0.006,0.006,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.032,0.007,0.012,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.032,0.008,0.013,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.039,0.009,0.012,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.04,0.009,0.02,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.041,0.01,0.015,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.048,0.01,0.029,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.049,0.01,0.018,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.049,0.011,0.023,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.05,0.011,0.02,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.056,0.012,0.024,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.058,0.012,0.026,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.058,0.01,0.03,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.059,0.012,0.036,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.061,0.011,0.023,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.061,0.012,0.034,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.063,0.012,0.048,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.065,0.014,0.025,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.067,0.014,0.042,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.067,0.011,0.037,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.068,0.012,0.045,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.069,0.012,0.044,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.07,0.015,0.029,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.071,0.015,0.04,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.072,0.015,0.037,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.075,0.015,0.034,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.076,0.014,0.057,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.077,0.016,0.038,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.078,0.014,0.038,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.081,0.016,0.047,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.081,0.015,0.045,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.082,0.015,0.045,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.084,0.015,0.049,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.085,0.018,0.041,0.0
256,20,MALLOWS-RELPHI-R,Copeland,0.085,0.015,0.051,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.089,0.016,0.042,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.091,0.017,0.042,0.0
