Game,n_splits,n_countries,n_events,rule_name,distance,distance_std
1896 Summer,100,12,43,Borda,0.062,0.03
1896 Summer,100,12,43,Plurality Veto,0.07,0.034
1896 Summer,100,12,43,Two Approval,0.07,0.033
1896 Summer,100,12,43,Plurality,0.075,0.036
1896 Summer,100,12,43,Anti-Plurality,0.076,0.031
1900 Summer,100,31,90,Borda,0.029,0.012
1900 Summer,100,31,90,Two Approval,0.036,0.013
1900 Summer,100,31,90,Plurality,0.042,0.015
1900 Summer,100,31,90,Plurality Veto,0.044,0.016
1900 Summer,100,31,90,Anti-Plurality,0.052,0.017
1904 Summer,100,15,95,Borda,0.058,0.032
1904 Summer,100,15,95,Two Approval,0.066,0.032
1904 Summer,100,15,95,Plurality,0.069,0.031
1904 Summer,100,15,95,Plurality Veto,0.069,0.029
1904 Summer,100,15,95,Anti-Plurality,0.073,0.03
1906 Summer,100,21,74,Two Approval,0.044,0.021
1906 Summer,100,21,74,Borda,0.051,0.021
1906 Summer,100,21,74,Plurality,0.056,0.025
1906 Summer,100,21,74,Plurality Veto,0.062,0.023
1906 Summer,100,21,74,Anti-Plurality,0.08,0.029
1908 Summer,100,22,109,Borda,0.023,0.014
1908 Summer,100,22,109,Two Approval,0.033,0.016
1908 Summer,100,22,109,Plurality,0.041,0.017
1908 Summer,100,22,109,Plurality Veto,0.041,0.019
1908 Summer,100,22,109,Anti-Plurality,0.047,0.021
1912 Summer,100,29,107,Borda,0.023,0.01
1912 Summer,100,29,107,Two Approval,0.03,0.011
1912 Summer,100,29,107,Plurality,0.04,0.013
1912 Summer,100,29,107,Plurality Veto,0.041,0.017
1912 Summer,100,29,107,Anti-Plurality,0.062,0.022
1920 Summer,100,29,158,Borda,0.024,0.011
1920 Summer,100,29,158,Two Approval,0.029,0.012
1920 Summer,100,29,158,Plurality Veto,0.035,0.013
1920 Summer,100,29,158,Plurality,0.036,0.014
1920 Summer,100,29,158,Anti-Plurality,0.057,0.02
1924 Summer,100,45,131,Borda,0.04,0.014
1924 Summer,100,45,131,Two Approval,0.05,0.013
1924 Summer,100,45,131,Plurality,0.052,0.016
1924 Summer,100,45,131,Plurality Veto,0.056,0.017
1924 Summer,100,45,131,Anti-Plurality,0.076,0.019
1924 Winter,100,19,17,Borda,0.036,0.014
1924 Winter,100,19,17,Two Approval,0.058,0.023
1924 Winter,100,19,17,Plurality,0.078,0.028
1924 Winter,100,19,17,Plurality Veto,0.084,0.027
1924 Winter,100,19,17,Anti-Plurality,0.089,0.033
1928 Summer,100,46,122,Borda,0.036,0.01
1928 Summer,100,46,122,Two Approval,0.048,0.012
1928 Summer,100,46,122,Plurality,0.056,0.015
1928 Summer,100,46,122,Plurality Veto,0.056,0.015
1928 Summer,100,46,122,Anti-Plurality,0.07,0.017
1928 Winter,100,25,14,Borda,0.069,0.023
1928 Winter,100,25,14,Two Approval,0.082,0.029
1928 Winter,100,25,14,Plurality,0.092,0.03
1928 Winter,100,25,14,Plurality Veto,0.098,0.028
1928 Winter,100,25,14,Anti-Plurality,0.11,0.033
1932 Summer,100,47,131,Borda,0.034,0.01
1932 Summer,100,47,131,Plurality,0.034,0.01
1932 Summer,100,47,131,Plurality Veto,0.036,0.009
1932 Summer,100,47,131,Two Approval,0.037,0.01
1932 Summer,100,47,131,Anti-Plurality,0.052,0.014
1932 Winter,100,17,14,Borda,0.075,0.028
1932 Winter,100,17,14,Two Approval,0.088,0.035
1932 Winter,100,17,14,Plurality,0.093,0.033
1932 Winter,100,17,14,Plurality Veto,0.096,0.039
1932 Winter,100,17,14,Anti-Plurality,0.11,0.042
1936 Summer,100,49,150,Borda,0.044,0.013
1936 Summer,100,49,150,Two Approval,0.047,0.01
1936 Summer,100,49,150,Plurality,0.052,0.014
1936 Summer,100,49,150,Plurality Veto,0.054,0.015
1936 Summer,100,49,150,Anti-Plurality,0.069,0.018
1936 Winter,100,28,17,Borda,0.094,0.031
1936 Winter,100,28,17,Two Approval,0.104,0.029
1936 Winter,100,28,17,Plurality,0.127,0.032
1936 Winter,100,28,17,Plurality Veto,0.131,0.039
1936 Winter,100,28,17,Anti-Plurality,0.143,0.035
1948 Summer,100,59,153,Borda,0.026,0.008
1948 Summer,100,59,153,Two Approval,0.039,0.01
1948 Summer,100,59,153,Plurality,0.042,0.011
1948 Summer,100,59,153,Plurality Veto,0.045,0.013
1948 Summer,100,59,153,Anti-Plurality,0.065,0.015
1948 Winter,100,28,22,Borda,0.048,0.014
1948 Winter,100,28,22,Anti-Plurality,0.068,0.047
1948 Winter,100,28,22,Plurality Veto,0.075,0.032
1948 Winter,100,28,22,Two Approval,0.087,0.029
1948 Winter,100,28,22,Plurality,0.107,0.041
1952 Summer,100,69,149,Borda,0.029,0.007
1952 Summer,100,69,149,Two Approval,0.044,0.01
