num_voters,num_alternatives,Num Profiles,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,5,5,equal_size,plackett_luce,PL MLE,0.046,0.018,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.047,0.022,0.013,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.055,0.028,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.057,0.027,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.058,0.026,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.058,0.022,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.058,0.024,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.059,0.02,0.022,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.06,0.026,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.06,0.023,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.06,0.024,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.06,0.026,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.061,0.031,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.062,0.022,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.062,0.024,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.063,0.025,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.064,0.028,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.064,0.024,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.064,0.024,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.064,0.032,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.064,0.031,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.065,0.027,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.065,0.018,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.066,0.028,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.066,0.028,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.066,0.021,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.068,0.028,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.068,0.019,0.022,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.068,0.028,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.068,0.028,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.068,0.035,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.068,0.019,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.069,0.026,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.069,0.022,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.069,0.022,0.022,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.069,0.024,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.07,0.032,0.0,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.07,0.026,0.007,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.07,0.017,0.047,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.07,0.021,0.016,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.07,0.022,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.071,0.025,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.071,0.028,0.013,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.071,0.032,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.071,0.028,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.072,0.03,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.073,0.018,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.073,0.016,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.074,0.031,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.075,0.022,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.075,0.028,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.075,0.024,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.075,0.022,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.075,0.022,0.016,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.075,0.027,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.075,0.021,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.076,0.027,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.076,0.029,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.076,0.026,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.076,0.024,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.076,0.027,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.076,0.024,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.076,0.027,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.076,0.022,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.076,0.029,0.031,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.076,0.02,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.076,0.032,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.076,0.028,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.076,0.021,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.077,0.023,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.077,0.03,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.077,0.019,0.018,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.077,0.028,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.077,0.03,0.022,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.078,0.035,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.078,0.034,0.02,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.078,0.031,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.078,0.035,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.078,0.029,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.078,0.033,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.079,0.026,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.079,0.017,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.079,0.024,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.08,0.027,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.08,0.024,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.08,0.019,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.08,0.026,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.081,0.025,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.081,0.029,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.081,0.036,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.081,0.019,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.081,0.031,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.081,0.021,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.082,0.025,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.082,0.035,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.082,0.019,0.016,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.082,0.029,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.082,0.033,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.083,0.032,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.083,0.033,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.084,0.019,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.084,0.027,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.084,0.029,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.084,0.024,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.084,0.026,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.084,0.028,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.085,0.034,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.085,0.021,0.024,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.085,0.032,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.085,0.025,0.033,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.085,0.034,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.086,0.03,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.086,0.03,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.086,0.032,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.086,0.019,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.086,0.026,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.086,0.023,0.042,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.086,0.022,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.087,0.03,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.087,0.025,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.087,0.022,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.087,0.028,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.087,0.026,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.087,0.026,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.088,0.023,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.088,0.039,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.088,0.032,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.088,0.025,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.088,0.02,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.088,0.025,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.088,0.018,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.088,0.017,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.089,0.017,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.089,0.022,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.09,0.026,0.029,0.0
