num_voters,num_alternatives,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,plackett_luce,PL MLE,0.056,0.03,0.009,0.0
20,10,plackett_luce,PL MLE,0.057,0.028,0.009,0.0
20,10,plackett_luce,PL MLE,0.059,0.029,0.013,0.0
20,10,plackett_luce,PL MLE,0.061,0.026,0.031,0.0
20,10,plackett_luce,PL MLE,0.061,0.026,0.018,0.0
20,10,plackett_luce,PL MLE,0.063,0.028,0.018,0.0
20,10,plackett_luce,PL MLE,0.064,0.028,0.013,0.0
20,10,plackett_luce,PL MLE,0.064,0.031,0.013,0.0
20,10,plackett_luce,PL MLE,0.066,0.03,0.022,0.0
20,10,plackett_luce,Copeland,0.068,0.025,0.013,0.0
20,10,plackett_luce,PL MLE,0.068,0.032,0.009,0.0
20,10,plackett_luce,Borda,0.068,0.033,0.031,0.0
20,10,plackett_luce,Borda,0.069,0.027,0.024,0.0
20,10,plackett_luce,Borda,0.069,0.028,0.022,0.0
20,10,plackett_luce,PL MLE,0.069,0.029,0.013,0.0
20,10,plackett_luce,PL MLE,0.07,0.029,0.018,0.0
20,10,plackett_luce,PL MLE,0.072,0.031,0.022,0.0
20,10,plackett_luce,PL MLE,0.072,0.03,0.022,0.0
20,10,plackett_luce,PL MLE,0.072,0.034,0.036,0.0
20,10,plackett_luce,Borda,0.074,0.031,0.036,0.0
20,10,plackett_luce,Borda,0.074,0.033,0.027,0.0
20,10,plackett_luce,PL MLE,0.075,0.03,0.022,0.0
20,10,plackett_luce,Borda,0.075,0.031,0.033,0.0
20,10,plackett_luce,PL MLE,0.075,0.026,0.027,0.0
20,10,plackett_luce,Borda,0.075,0.036,0.018,0.0
20,10,plackett_luce,Copeland,0.076,0.026,0.016,0.0
20,10,plackett_luce,Borda,0.076,0.03,0.022,0.0
20,10,plackett_luce,Copeland,0.077,0.024,0.018,0.0
20,10,plackett_luce,PL MLE,0.077,0.032,0.009,0.0
20,10,plackett_luce,Copeland,0.078,0.026,0.013,0.0
20,10,plackett_luce,Borda,0.078,0.029,0.036,0.0
20,10,plackett_luce,Borda,0.078,0.027,0.029,0.0
20,10,plackett_luce,Copeland,0.079,0.027,0.038,0.0
20,10,plackett_luce,Borda,0.08,0.03,0.016,0.0
20,10,plackett_luce,Copeland,0.08,0.025,0.029,0.0
20,10,plackett_luce,Copeland,0.08,0.025,0.027,0.0
20,10,plackett_luce,PL MLE,0.08,0.027,0.027,0.0
20,10,plackett_luce,Copeland,0.081,0.028,0.022,0.0
20,10,plackett_luce,Borda,0.081,0.03,0.036,0.0
20,10,plackett_luce,Copeland,0.081,0.026,0.024,0.0
20,10,plackett_luce,PL MLE,0.084,0.026,0.036,0.0
20,10,plackett_luce,Borda,0.084,0.028,0.029,0.0
20,10,plackett_luce,Borda,0.084,0.028,0.018,0.0
20,10,plackett_luce,Borda,0.086,0.032,0.018,0.0
20,10,plackett_luce,Borda,0.086,0.034,0.033,0.0
20,10,plackett_luce,Copeland,0.086,0.027,0.011,0.0
20,10,plackett_luce,Copeland,0.087,0.031,0.027,0.0
20,10,plackett_luce,Borda,0.087,0.036,0.027,0.0
